lab_name,plan_id,nb_features,days_subscribed,nb_cases_month,nb_units_month,nb_other_settings_month,nb_other_products_month,nb_clients_month,nb_shipping_zipcodes_month,cluster_5,cluster_6
320S-D718,2,16,675,124,186,36,21,124,124,3,6
37L-D851,6,19,2042,34,50,18,0,34,32,1,2
38T-D685,1,8,46,21,38,0,0,21,21,3,6
314S-L496,10,8,172,277,389,30,0,277,277,3,6
A3A-A290,6,19,1648,243,388,17,0,243,243,1,2
A14N-A872,4,23,535,453,1037,59,0,453,453,5,1
A6N-D165,6,19,1859,27,85,0,0,27,27,1,2
A3C-D627,6,20,2469,189,269,57,0,189,185,1,2
A3I-D361,6,19,1535,13,27,10,0,13,13,1,2
A3L-D231,6,20,2671,166,249,12,0,166,148,1,2
A8D-D759,9,2,435,310,321,0,0,310,286,3,6
A17B-D669,5,5,1146,285,426,26,34,285,285,3,6
A9C-E598,6,19,1500,59,90,4,0,59,59,1,2
A18S-E589,6,20,2182,196,333,0,0,196,190,1,2
A3X-F781,6,20,1600,93,177,0,0,93,93,1,2
A22S-I398,2,8,70,72,78,4,0,72,72,3,6
A8T-L955,1,1,101,69,449,0,0,69,1,3,6
A7D-L212,5,5,662,139,167,4,0,139,139,3,6
A14B-L309,2,8,23,85,88,18,66,85,85,3,6
A5K-N865,6,19,2428,208,265,28,0,208,208,1,2
A10L-P190,7,21,1103,433,1076,252,54,433,432,5,1
A191-P932,11,14,93,850,1104,124,0,850,845,5,1
A15E-P776,3,16,135,2,9,0,0,2,2,3,6
A161-P327,10,8,305,694,919,28,0,694,669,5,1
A8M-R829,10,8,408,1,2,0,0,1,1,3,6
A9S-R112,7,17,1212,34,70,0,4,34,34,1,2
A10C-R212,11,14,255,132,429,0,0,132,28,3,6
A4A-R887,6,20,1296,196,397,4,0,196,143,1,2
A19S-R507,1,2,61,197,225,0,0,197,195,3,6
A6S-R607,7,17,702,197,356,0,0,197,197,1,2
A9N-R657,11,14,215,16,16,0,0,16,16,3,6
A9L-R155,4,23,1697,971,1785,180,224,971,970,5,1
A12B-R825,4,23,1625,935,1275,0,0,935,935,5,1
A17L-R358,6,20,1240,25,60,0,0,25,20,1,2
A13L-R522,11,14,438,1700,2777,0,0,1700,1700,2,3
A91-R539,2,7,79,364,597,0,0,364,364,3,6
A8C-R813,4,23,1928,917,1482,78,0,917,917,5,1
A15B-U966,6,20,1328,247,402,0,0,247,247,1,2
A7R-V127,3,20,2083,615,951,0,0,615,607,5,1
A16S-V493,7,17,1007,286,438,4,3,286,284,1,2
A7H-Z556,6,19,2225,17,30,13,0,17,17,1,2
B16B-A844,7,22,766,415,587,0,6,415,372,1,1
B18Y-A773,4,23,316,332,511,0,37,332,300,1,2
